,optimizer,initializer,regularization,activation_function,best_valid_acc,last_valid_acc,last_train_acc,model,dropout
94,adamW,HeNormal,l1,tanh,0.8886666893959045,0.8841666579246521,0.8910370469093323,vanilla_NN,0.3
95,adamW,HeNormal,l1,tanh,0.8798333406448364,0.8788333535194397,0.8658888936042786,vanilla_NN,0.5
96,adamW,HeNormal,l1,sigmoid,0.8983333110809326,0.893666684627533,0.9639258980751038,vanilla_NN,0
97,adamW,HeNormal,l1,sigmoid,0.9003333449363708,0.8988333344459534,0.9198333621025085,vanilla_NN,0.3
98,adamW,HeNormal,l1,sigmoid,0.8980000019073486,0.8953333497047424,0.8966481685638428,vanilla_NN,0.5
99,adamW,HeNormal,l2,relu,0.8993333578109741,0.8963333368301392,0.9549259543418884,vanilla_NN,0
100,adamW,HeNormal,l2,relu,0.8991666436195374,0.893666684627533,0.9087592363357544,vanilla_NN,0.3
101,adamW,HeNormal,l2,relu,0.8884999752044678,0.8884999752044678,0.8788148164749146,vanilla_NN,0.5
102,adamW,HeNormal,l2,tanh,0.8930000066757202,0.8930000066757202,0.9297778010368347,vanilla_NN,0
103,adamW,HeNormal,l2,tanh,0.8899999856948853,0.8859999775886536,0.8911481499671936,vanilla_NN,0.3
104,adamW,HeNormal,l2,tanh,0.8836666941642761,0.8836666941642761,0.8666666746139526,vanilla_NN,0.5
105,adamW,HeNormal,l2,sigmoid,0.9004999995231628,0.8924999833106995,0.9622777700424194,vanilla_NN,0
106,adamW,HeNormal,l2,sigmoid,0.9023333191871643,0.9014999866485596,0.9210925698280334,vanilla_NN,0.3
107,adamW,HeNormal,l2,sigmoid,0.8956666588783264,0.8924999833106995,0.8972222208976746,vanilla_NN,0.5
108,adamW,RandomNormal,,relu,0.9004999995231628,0.8974999785423279,0.9548147916793823,vanilla_NN,0
109,adamW,RandomNormal,,relu,0.8998333215713501,0.8996666669845581,0.9086666703224182,vanilla_NN,0.3
110,adamW,RandomNormal,,relu,0.8901666402816772,0.8891666531562805,0.8816666603088379,vanilla_NN,0.5
111,adamW,RandomNormal,,tanh,0.8941666483879089,0.8883333206176758,0.9325555562973022,vanilla_NN,0
112,adamW,RandomNormal,,tanh,0.8893333077430725,0.8868333101272583,0.8893518447875977,vanilla_NN,0.3
113,adamW,RandomNormal,,tanh,0.8813333511352539,0.8813333511352539,0.8658148050308228,vanilla_NN,0.5
114,adamW,RandomNormal,,sigmoid,0.9003333449363708,0.8971666693687439,0.9621296525001526,vanilla_NN,0
115,adamW,RandomNormal,,sigmoid,0.9010000228881836,0.8995000123977661,0.9205555319786072,vanilla_NN,0.3
